Station,subway_line,month,passengers,year,year_month
Saens Peña,Estações da Linha 1,Jan,624690,1998,1998-01-01
Saens Peña,Estações da Linha 1,Fev,594720,1998,1998-02-01
Saens Peña,Estações da Linha 1,Mar,773070,1998,1998-03-01
Saens Peña,Estações da Linha 1,Abr,709140,1998,1998-04-01
Saens Peña,Estações da Linha 1,Mai,730300,1998,1998-05-01
Saens Peña,Estações da Linha 1,Jun,715010,1998,1998-06-01
Saens Peña,Estações da Linha 1,Jul,821060,1998,1998-07-01
Saens Peña,Estações da Linha 1,Ago,791990,1998,1998-08-01
Saens Peña,Estações da Linha 1,Set,825250,1998,1998-09-01
Saens Peña,Estações da Linha 1,Out,843670,1998,1998-10-01
Saens Peña,Estações da Linha 1,Nov,804730,1998,1998-11-01
Saens Peña,Estações da Linha 1,Dez,871520,1998,1998-12-01
São Francisco Xavier,Estações da Linha 1,Jan,148770,1998,1998-01-01
São Francisco Xavier,Estações da Linha 1,Fev,147250,1998,1998-02-01
São Francisco Xavier,Estações da Linha 1,Mar,190660,1998,1998-03-01
São Francisco Xavier,Estações da Linha 1,Abr,171850,1998,1998-04-01
São Francisco Xavier,Estações da Linha 1,Mai,180670,1998,1998-05-01
São Francisco Xavier,Estações da Linha 1,Jun,178200,1998,1998-06-01
São Francisco Xavier,Estações da Linha 1,Jul,198210,1998,1998-07-01
São Francisco Xavier,Estações da Linha 1,Ago,190860,1998,1998-08-01
São Francisco Xavier,Estações da Linha 1,Set,199630,1998,1998-09-01
São Francisco Xavier,Estações da Linha 1,Out,203940,1998,1998-10-01
São Francisco Xavier,Estações da Linha 1,Nov,192710,1998,1998-11-01
São Francisco Xavier,Estações da Linha 1,Dez,207920,1998,1998-12-01
Afonso Pena,Estações da Linha 1,Jan,179230,1998,1998-01-01
Afonso Pena,Estações da Linha 1,Fev,174520,1998,1998-02-01
Afonso Pena,Estações da Linha 1,Mar,227490,1998,1998-03-01
Afonso Pena,Estações da Linha 1,Abr,205820,1998,1998-04-01
Afonso Pena,Estações da Linha 1,Mai,214900,1998,1998-05-01
Afonso Pena,Estações da Linha 1,Jun,210480,1998,1998-06-01
Afonso Pena,Estações da Linha 1,Jul,232250,1998,1998-07-01
Afonso Pena,Estações da Linha 1,Ago,232110,1998,1998-08-01
Afonso Pena,Estações da Linha 1,Set,237570,1998,1998-09-01
Afonso Pena,Estações da Linha 1,Out,238030,1998,1998-10-01
Afonso Pena,Estações da Linha 1,Nov,227770,1998,1998-11-01
Afonso Pena,Estações da Linha 1,Dez,241060,1998,1998-12-01
Estácio,Estações da Linha 1,Jan,172010,1998,1998-01-01
Estácio,Estações da Linha 1,Fev,156510,1998,1998-02-01
Estácio,Estações da Linha 1,Mar,198180,1998,1998-03-01
Estácio,Estações da Linha 1,Abr,170300,1998,1998-04-01
Estácio,Estações da Linha 1,Mai,178990,1998,1998-05-01
Estácio,Estações da Linha 1,Jun,179870,1998,1998-06-01
